RegionIndex,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
0.0,431154.795758,315328.22674199997,325451.665637,346963.101565,293606.637939,332897.290959,319436.647876,366448.322406,354264.664896,427113.473752,423353.306959,369302.403343,417192.559841,402621.506337,352231.482342,340706.883809,339469.274529,403445.841566,334773.50699699996,370506.932585,477090.331359,396349.799803,541721.442161,395618.186535,426005.174648,453166.85521199997,420063.223236,409995.251773,411113.873815,398214.111407,412411.854975,425787.933809,410404.669207,401703.80261099996,409801.346432,430301.201892,562979.783735,809486.2942240001,620175.727437,591392.9152340001,589413.067157,594727.63615057,600042.2051441399
1.0,498112.15757740004,482937.5496571,547468.8558723,555325.6000726,517874.1487,534801.2731134,564122.3073133,635248.5242924,649284.0908179,677174.9929285999,708688.821289,701714.448543,849439.313518,835514.83774,789625.473229,781690.853566,837993.889109,932505.406081,880541.884985,877171.11781,951887.3950619999,1021572.7784760001,1067705.19641,998414.7145250001,1061618.6009510001,1065666.869034,1089561.918646,1339921.5378029998,1161523.481896,1096850.499735,1058106.294596,1067685.0743099998,1106231.61139,1062025.705599,1136546.433332,1181996.0163429999,1280218.3528510001,1170039.978565,1170421.781199,1251853.300833,1266266.1729620001,1292897.5302272362,1319003.313492472
2.0,621927.1739341001,636570.268984791,673559.627089782,692983.190557073,714250.473686164,721222.186922355,734845.119235646,740523.5108753371,755889.927903028,761203.494762419,746365.0438659099,741236.662944101,732574.956969792,743211.6834568831,752962.456560574,753431.641326865,754317.675792656,752076.143818447,740634.784283238,725185.909017029,689855.34640782,647870.02418482,617878.43214382,586250.54639482,575627.48049982,567353.44537082,606122.32468082,574846.17048082,603652.01974482,515254.65248882,499653.55029782,467723.19621582003,482007.77453482,492452.22028982,450035.06533882,446017.83377382,422378.33275482,416553.13465882,404134.51047882,389278.70563782,380858.89598482,377856.85993042955,376771.2717760388
3.0,64791.27591498799,61806.232878885996,75251.438402148,61589.582548284,66778.67371034999,72591.867717208,83290.49961669599,81314.78112477799,68879.31607660599,80047.371007052,84829.196238968,66178.135247594,83508.675112888,69177.090848282,69110.742449824,85747.17867629601,77637.47555653201,70334.404204058,69534.275532014,71880.507278998,79659.90327024,86167.762504852,78629.729123512,73252.261134809,91048.96415001802,73538.610790486,76358.282838588,90667.84770120401,79336.552797127,86217.291265333,91869.7206746,97966.266332467,90472.123614105,86725.525569031,87433.474204963,79848.922386807,75051.020383058,94936.36618058001,74861.07339206799,76432.289270245,67288.663130632,68992.70638201432,70710.26563339664
4.0,383623.66141752,393527.76537547,402672.4108914,422805.2891853,424518.1862865,431189.50279596995,451696.83660917,459874.29085222003,467215.23885366,498732.62879383005,490421.78801428,490280.62839642,449928.10798903,455871.59263560997,473083.78095095005,469509.91014811996,462607.89147342,470197.38223618997,478205.74988486996,505153.75672189996,449615.67077182,450308.31111292995,454500.27486117,464616.41954886,494809.23202907,496019.61400907,496036.70844726,490187.77424955997,512830.96414847,462303.54072742,453042.51925167,425691.4464113,427532.65105612006,440644.48458191997,435102.07006816,431297.57135688,417429.9329914,417675.6752459,408884.6500386,408436.5354751,406962.70856969996,400310.7303296291,392999.07208955823
5.0,201439.6182,173670.7575,194608.4706,183467.19150000002,196566.5639,211106.40089999998,232841.64169999998,214683.3762,229356.67440000002,238094.3995,251119.5796,240356.9159,245749.8898,247052.0479,230781.8343,237874.594,247379.60940000002,272266.366,258354.9455,261407.5651,274437.09140000003,271975.15510000003,284899.7929,300950.418,275626.3382,290958.11360000004,290823.1117,295748.8567,315715.5847,314395.521,292660.30189999996,312089.55189999996,317297.8991,336998.985,370856.8347,378624.40859999997,321815.02101,331202.29376000003,333625.84245,331373.00363,352126.29215,356997.4479015,361868.60365299997
