SL.FAM.WORK.FE.ZS,24
SL.FAM.WORK.MA.ZS,25
SL.FAM.WORK.ZS,26
SL.EMP.MPYR.FE.ZS,9
SL.EMP.MPYR.MA.ZS,10
SL.EMP.MPYR.ZS,11
SL.AGR.EMPL.ZS,5
SL.AGR.EMPL.FE.ZS,3
SL.AGR.EMPL.MA.ZS,4
SL.IND.EMPL.ZS,29
SL.IND.EMPL.FE.ZS,27
SL.IND.EMPL.MA.ZS,28
SL.SRV.EMPL.ZS,32
SL.SRV.EMPL.FE.ZS,30
SL.SRV.EMPL.MA.ZS,31
SL.EMP.TOTL.SP.FE.ZS,15
SL.EMP.TOTL.SP.MA.ZS,16
SL.EMP.TOTL.SP.ZS,17
SL.EMP.1524.SP.FE.ZS,6
SL.EMP.1524.SP.MA.ZS,7
SL.EMP.1524.SP.ZS,8
SL.TLF.ACTI.1524.FE.ZS,33
SL.TLF.ACTI.1524.MA.ZS,34
SL.TLF.ACTI.1524.ZS,35
SL.TLF.CACT.FE.ZS,39
SL.TLF.ACTI.FE.ZS,36
SL.TLF.CACT.MA.ZS,41
SL.TLF.ACTI.MA.ZS,37
SL.TLF.CACT.ZS,42
SL.TLF.ACTI.ZS,38
SL.TLF.TOTL.FE.ZS,43
SL.TLF.TOTL.IN,44
SE.PRM.DURS,0
SG.GEN.PARL.ZS,2
SL.TLF.CACT.FM.ZS,40
SE.SEC.DURS,1
SL.EMP.SELF.FE.ZS,12
SL.EMP.SELF.MA.ZS,13
SL.EMP.SELF.ZS,14
SL.UEM.TOTL.FE.ZS,48
SL.UEM.TOTL.MA.ZS,49
SL.UEM.TOTL.ZS,50
SL.UEM.1524.FE.ZS,45
SL.UEM.1524.MA.ZS,46
SL.UEM.1524.ZS,47
SL.EMP.VULN.FE.ZS,18
SL.EMP.VULN.MA.ZS,19
SL.EMP.VULN.ZS,20
SL.EMP.WORK.FE.ZS,21
SL.EMP.WORK.MA.ZS,22
SL.EMP.WORK.ZS,23
